id;req_date;part_code;part_name;qty;job_code;job_id;repairer_id;department_id;created_by;source;created_at;updated_at
5ed399b3-7dc1-4dc4-bc92-bd0b82fc560e;2026-08-01;0401E8-00083/002;Emergency stop 22mm. 1NC;1ตัว;260717004;16dce9cc-93d8-4ece-9567-d02f887916cb;aee8cef8-8534-459f-94b8-9de40933bee7;dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;aee8cef8-8534-459f-94b8-9de40933bee7;repairer;2026-08-01 06:48:08.181124+00;2026-08-01 06:48:08.181124+00
9b4dd2ba-2e20-42ce-af70-db000b2403fc;2026-08-01;0401E4-00551/004;ปลั๊กไฟพร้อมกราว4*4;4ตัว;260716004;5708f50f-73a0-4506-951c-208ea403f5c6;bd10cd0f-07af-4f58-87d9-595a76cd55f5;dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;bd10cd0f-07af-4f58-87d9-595a76cd55f5;repairer;2026-08-01 08:53:03.423369+00;2026-08-01 08:53:03.423369+00
4a8416c6-d1b0-4b46-8a2c-7e3f4e639f1b;2026-08-03;0401E4-00026/001;ปลั๊กตัวผู้แบบยาง 3ขา;1;260803002;d9ef5471-fdf0-4e6c-a1f8-aedcdbcbad4a;d115f163-f902-496c-9630-73dee8d85e47;72e122e2-76e3-44aa-a586-0a3f86291d77;d115f163-f902-496c-9630-73dee8d85e47;repairer;2026-08-03 06:07:06.219293+00;2026-08-03 06:07:06.219293+00
03658661-11c8-4d28-a543-e215a6097e70;2026-08-03;0401E4-00551/004;บล็อคยางพร้อมปลั๊กการาวด์ขนาด 4x4ไม่มีสายด 4,,+;1ชุด;260801001;089ee284-5e09-471f-be95-e6f130065ffe;d115f163-f902-496c-9630-73dee8d85e47;72e122e2-76e3-44aa-a586-0a3f86291d77;d115f163-f902-496c-9630-73dee8d85e47;repairer;2026-08-03 06:10:49.030882+00;2026-08-03 06:10:49.030882+00
5ad5f3f9-779a-4e7a-9d17-68406ec28d9f;2026-08-03;99EXP-00310/001;ค่าใช้จ่ายเสาธง​135มม.;1​jop.;260703003;21cc3a88-03ae-4cfe-b8c6-570e3d7674ed;6fff3037-214c-4188-8332-997730090207;755d8bf8-abaf-4e67-8c66-c04dab7755d0;6fff3037-214c-4188-8332-997730090207;repairer;2026-08-03 06:21:50.046939+00;2026-08-03 06:21:50.046939+00
656897e5-025b-491b-b580-3f5fdb89afcb;2026-08-04;0401E7-00372/001;"Water pump ""pedrollo";1ตัว;260803011;d2af4f3a-6308-4194-8c3f-bc4171c138a4;18315ef5-0d9a-4c48-836b-d172ad01c347;72e122e2-76e3-44aa-a586-0a3f86291d77;18315ef5-0d9a-4c48-836b-d172ad01c347;repairer;2026-08-04 06:23:07.417973+00;2026-08-04 06:23:07.417973+00
59b82d17-8a43-4468-89b1-4a887d2ddbba;2026-08-04;0401E8-00586    007;ข้อต่อลม 3 ทาง ตัวที 12 mm SPE-12;1;260803008;c8f6ce8b-bb17-4b9b-b99f-1a775cd42e0a;14a61d91-95ef-411a-b313-dae02e0f86a9;72e122e2-76e3-44aa-a586-0a3f86291d77;14a61d91-95ef-411a-b313-dae02e0f86a9;repairer;2026-08-04 06:55:12.539938+00;2026-08-04 06:55:12.539938+00
0a44e1ee-9136-48e9-af37-894e1d69b82e;2026-08-04;0401E7-00067    004;สายไฮโดรลิก 1/2 x 1 ม. หัวตรง-ตรง;1;260803008;c8f6ce8b-bb17-4b9b-b99f-1a775cd42e0a;14a61d91-95ef-411a-b313-dae02e0f86a9;72e122e2-76e3-44aa-a586-0a3f86291d77;14a61d91-95ef-411a-b313-dae02e0f86a9;repairer;2026-08-04 06:55:12.539938+00;2026-08-04 06:55:12.539938+00
f06ec5f8-0b8f-43f5-a590-11d6688c6014;2026-08-05;0401E4-00135/020;สายลมสีดำ5×8มิล;4เมตร;260803009;a0081bd9-276c-4190-880a-a70ff190caef;18315ef5-0d9a-4c48-836b-d172ad01c347;72e122e2-76e3-44aa-a586-0a3f86291d77;18315ef5-0d9a-4c48-836b-d172ad01c347;repairer;2026-08-05 03:57:29.01723+00;2026-08-05 03:57:29.01723+00
a7656fc8-1efb-47e5-b0a9-612b3bb31cd6;2026-08-05;0401E8-00586/015;ข้อต่อลมเกลียวใน spc f8-02;2ตัว;260803009;a0081bd9-276c-4190-880a-a70ff190caef;18315ef5-0d9a-4c48-836b-d172ad01c347;72e122e2-76e3-44aa-a586-0a3f86291d77;18315ef5-0d9a-4c48-836b-d172ad01c347;repairer;2026-08-05 03:57:29.01723+00;2026-08-05 03:57:29.01723+00
fa2b3fed-5661-424b-a7a8-27d9438f9637;2026-08-05;0401E4-00135/020;สายลมpuสีดำ5×8มิล;4เมตร;260803010;0de4e5ef-30a8-4239-8ecc-290216c55faf;18315ef5-0d9a-4c48-836b-d172ad01c347;72e122e2-76e3-44aa-a586-0a3f86291d77;18315ef5-0d9a-4c48-836b-d172ad01c347;repairer;2026-08-05 04:02:26.262518+00;2026-08-05 04:02:26.262518+00
